donor_id,donor_name,biological_sex,age,full_genotype
416131,Sst-IRES-Cre;Ai14-416131,M,P59,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
417327,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-417327,M,P53,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
416483,Sst-IRES-Cre;Ai14-416483,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
417229,Vip-IRES-Cre;Ai14-417229,F,P54,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
416132,Sst-IRES-Cre;Ai14-416132,M,P61,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
416938,Vip-IRES-Cre;Npy-IRES2-FlpO;Ai65-416938,F,P57,Vip-IRES-Cre/wt;Npy-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
416484,Sst-IRES-Cre;Ai14-416484,F,P59,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
417331,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-417331,M,P55,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
418222,Vip-IRES-Cre;Ai14-418222,M,P53,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
417268,Pvalb-IRES-Cre;Ai14-417268,M,P58,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
417710,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-417710,M,P56,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
418225,Vip-IRES-Cre;Ai14-418225,F,P54,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
417711,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-417711,M,P57,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
418120,Pvalb-IRES-Cre;Ai14-418120,M,P55,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
418227,Vip-IRES-Cre;Ai14-418227,F,P56,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
418125,Pvalb-IRES-Cre;Ai14-418125,F,P57,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
417712,Cck-IRES-Cre;Vip-IRES-FlpO;Ai65-417712,M,P59,Cck-IRES-Cre/wt;Vip-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
418126,Pvalb-IRES-Cre;Ai14-418126,F,P57,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
418127,Pvalb-IRES-Cre;Ai14-418127,F,P58,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
417321,Pvalb-T2A-CreERT2;Ai14-417321,M,P62,Pvalb-T2A-CreERT2/wt;Ai14(RCL-tdT)/wt
417322,Pvalb-T2A-CreERT2;Ai14-417322,F,P62,Pvalb-T2A-CreERT2/wt;Ai14(RCL-tdT)/wt
418813,Slc32a1-IRES-Cre;Ai14-418813,M,P56,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt
419284,Gad2-IRES-Cre;Ai14-419284,M,P54,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt
418814,Slc32a1-IRES-Cre;Ai14-418814,M,P57,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt
419287,Gad2-IRES-Cre;Ai14-419287,F,P55,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt
